broad_sector,companies,avg_roe,avg_roce,avg_net_margin,avg_op_margin,avg_debt,avg_interest,avg_pe,avg_pb,total_market_cap,avg_quality
Information Technology,5,27.13,39.36,13.61,19.81,0.09,53.37,60.05,6.06,6354203.9,63.4
Consumer Discretionary,14,86.72,441.11,11.5,25.54,0.7,52.9,38.82,7.73,20380298.32,59.59
Consumer Staples,7,34.47,55.49,13.34,30.2,0.18,76.22,48.65,8.93,4618519.49,57.24
Healthcare,6,16.63,32.16,16.1,33.81,0.25,132.85,45.58,8.21,9612014.01,56.99
Industrials,10,874.18,841.72,13.38,21.33,0.58,99.87,49.18,7.3,12254604.13,54.01
Materials,9,16.07,42.28,10.92,31.76,0.37,32.77,53.06,7.78,11279419.67,48.7
Energy,13,17.88,19.07,16.11,34.28,1.54,7.92,42.54,6.98,11251443.09,47.2
Financials,22,19.01,81.29,39.26,56.62,4.82,366.03,34.89,7.26,26947648.51,40.44
Communication Services,2,6.16,14.21,14.58,40.12,1.31,16.14,48.33,7.3,942430.27,38.62
Real Estate,2,7.9,8.39,28.72,29.44,0.28,6.54,49.1,10.98,2591632.02,36.32
